anio;mes;dia;tminima;tmaxima
2023;8;1;15.1;17.8
2023;8;2;15.2;18.6
2023;8;3;15.4;18.9
2023;8;4;11.0;18.0
2023;8;5;15.3;18.0
2023;8;6;14.3;18.0
2023;8;7;14.5;20.3
2023;8;8;14.5;18.9
2023;8;9;15.7;18.6
2023;8;10;15.7;18.7
2023;8;11;14.6;18.0
2023;8;12;13.9;17.3
2023;8;13;11.5;17.2
2023;8;14;12.0;17.1
2023;8;15;11.5;16.6
2023;8;16;13.8;16.7
2023;8;17;14.1;17.8
2023;8;18;14.4;18.6
2023;8;19;15.8;18.6
2023;8;20;15.1;18.1
2023;8;21;15.9;18.4
2023;8;22;16.2;18.4
2023;8;23;15.7;18.8
2023;8;24;13.3;18.7
2023;8;25;14.5;18.4
2023;8;26;14.0;17.8
2023;8;27;14.8;17.5
2023;8;28;15.0;17.6
2023;8;29;14.3;16.8
2023;8;30;14.9;17.2
2023;8;31;14.5;17.4
2023;9;1;15.0;17.7
2023;9;2;15.6;18.5
2023;9;3;15.7;18.8
2023;9;4;13.6;18.4
2023;9;5;15.5;18.3
2023;9;6;15.3;17.7
2023;9;7;15.2;19.5
2023;9;8;12.6;17.5
2023;9;9;14.5;17.6
2023;9;10;15.1;18.2
2023;9;11;15.3;17.6
2023;9;12;14.5;17.3
2023;9;13;12.1;17.3
2023;9;14;9.4;17.5
2023;9;15;11.3;16.8
2023;9;16;11.4;17.4
2023;9;17;15.3;18.4
2023;9;18;15.5;18.0
2023;9;19;15.1;17.7
2023;9;20;14.4;17.5
2023;9;21;15.3;18.3
2023;9;22;15.9;17.7
2023;9;23;15.5;17.6
2023;9;24;14.7;17.5
2023;9;25;10.0;17.2
2023;9;26;14.6;17.8
2023;9;27;14.7;17.3
2023;9;28;13.2;17.0
2023;9;29;13.6;16.9
2023;9;30;12.9;17.5
